,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,start_order
8749,2024-07-29T19:05:51+02:00,BKBWTEAM5-------------GPB-000200--,BKBWTEAM5,Women,Women's Group Phase - Group B,Group Phase - Group B,FINISHED,W,Basketball,BKB,Pierre Mauroy Stadium,BKBWTEAM5---CAN01,Canada,Team,CAN,Canada,54,POINTS,L,1
8750,2024-07-29T19:05:51+02:00,BKBWTEAM5-------------GPB-000200--,BKBWTEAM5,Women,Women's Group Phase - Group B,Group Phase - Group B,FINISHED,W,Basketball,BKB,Pierre Mauroy Stadium,BKBWTEAM5---FRA01,France,Team,FRA,France,75,POINTS,W,2
3920,2024-07-29T22:45:22+02:00,BKBWTEAM5-------------GPC-000200--,BKBWTEAM5,Women,Women's Group Phase - Group C,Group Phase - Group C,FINISHED,W,Basketball,BKB,Pierre Mauroy Stadium,BKBWTEAM5---USA01,United States of America,Team,USA,United States,102,POINTS,W,1
3921,2024-07-29T22:45:22+02:00,BKBWTEAM5-------------GPC-000200--,BKBWTEAM5,Women,Women's Group Phase - Group C,Group Phase - Group C,FINISHED,W,Basketball,BKB,Pierre Mauroy Stadium,BKBWTEAM5---JPN01,Japan,Team,JPN,Japan,76,POINTS,L,2
8128,2024-07-31T12:49:52+02:00,BKBWTEAM5-------------GPA-000300--,BKBWTEAM5,Women,Women's Group Phase - Group A,Group Phase - Group A,FINISHED,W,Basketball,BKB,Pierre Mauroy Stadium,BKBWTEAM5---PUR01,Puerto Rico,Team,PUR,Puerto Rico,62,POINTS,L,1
8129,2024-07-31T12:49:52+02:00,BKBWTEAM5-------------GPA-000300--,BKBWTEAM5,Women,Women's Group Phase - Group A,Group Phase - Group A,FINISHED,W,Basketball,BKB,Pierre Mauroy Stadium,BKBWTEAM5---ESP01,Spain,Team,ESP,Spain,63,POINTS,W,2
12886,2024-07-31T15:15:36+02:00,BKBWTEAM5-------------GPA-000400--,BKBWTEAM5,Women,Women's Group Phase - Group A,Group Phase - Group A,FINISHED,W,Basketball,BKB,Pierre Mauroy Stadium,BKBWTEAM5---CHN01,People's Republic of China,Team,CHN,China,59,POINTS,L,1
12887,2024-07-31T15:15:36+02:00,BKBWTEAM5-------------GPA-000400--,BKBWTEAM5,Women,Women's Group Phase - Group A,Group Phase - Group A,FINISHED,W,Basketball,BKB,Pierre Mauroy Stadium,BKBWTEAM5---SRB01,Serbia,Team,SRB,Serbia,81,POINTS,W,2
3907,2024-08-01T12:59:05+02:00,BKBWTEAM5-------------GPC-000300--,BKBWTEAM5,Women,Women's Group Phase - Group C,Group Phase - Group C,FINISHED,W,Basketball,BKB,Pierre Mauroy Stadium,BKBWTEAM5---JPN01,Japan,Team,JPN,Japan,64,POINTS,L,1
3908,2024-08-01T12:59:05+02:00,BKBWTEAM5-------------GPC-000300--,BKBWTEAM5,Women,Women's Group Phase - Group C,Group Phase - Group C,FINISHED,W,Basketball,BKB,Pierre Mauroy Stadium,BKBWTEAM5---GER01,Germany,Team,GER,Germany,75,POINTS,W,2
8695,2024-08-01T15:25:17+02:00,BKBWTEAM5-------------GPB-000300--,BKBWTEAM5,Women,Women's Group Phase - Group B,Group Phase - Group B,FINISHED,W,Basketball,BKB,Pierre Mauroy Stadium,BKBWTEAM5---AUS01,Australia,Team,AUS,Australia,70,POINTS,W,1
8696,2024-08-01T15:25:17+02:00,BKBWTEAM5-------------GPB-000300--,BKBWTEAM5,Women,Women's Group Phase - Group B,Group Phase - Group B,FINISHED,W,Basketball,BKB,Pierre Mauroy Stadium,BKBWTEAM5---CAN01,Canada,Team,CAN,Canada,65,POINTS,L,2
10545,2024-08-01T19:03:45+02:00,BKBWTEAM5-------------GPB-000400--,BKBWTEAM5,Women,Women's Group Phase - Group B,Group Phase - Group B,FINISHED,W,Basketball,BKB,Pierre Mauroy Stadium,BKBWTEAM5---FRA01,France,Team,FRA,France,75,POINTS,W,1
10546,2024-08-01T19:03:45+02:00,BKBWTEAM5-------------GPB-000400--,BKBWTEAM5,Women,Women's Group Phase - Group B,Group Phase - Group B,FINISHED,W,Basketball,BKB,Pierre Mauroy Stadium,BKBWTEAM5---NGR01,Nigeria,Team,NGR,Nigeria,54,POINTS,L,2
1941,2024-08-01T22:58:29+02:00,BKBWTEAM5-------------GPC-000400--,BKBWTEAM5,Women,Women's Group Phase - Group C,Group Phase - Group C,FINISHED,W,Basketball,BKB,Pierre Mauroy Stadium,BKBWTEAM5---BEL01,Belgium,Team,BEL,Belgium,74,POINTS,L,1
1942,2024-08-01T22:58:29+02:00,BKBWTEAM5-------------GPC-000400--,BKBWTEAM5,Women,Women's Group Phase - Group C,Group Phase - Group C,FINISHED,W,Basketball,BKB,Pierre Mauroy Stadium,BKBWTEAM5---USA01,United States of America,Team,USA,United States,87,POINTS,W,2
