,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,result_IRM,start_order
8657,2024-08-01T21:48:52+02:00,VBVMTEAM2-------------GPC-000400--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool C,Preliminary Phase - Pool C,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---POL01,Bryl/Losiak,Team,POL,Poland,2,POINTS,W,,1
8658,2024-08-01T21:48:52+02:00,VBVMTEAM2-------------GPC-000400--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool C,Preliminary Phase - Pool C,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---FRA02,Bassereau/Lyneel,Team,FRA,France,0,POINTS,L,,2
4102,2024-08-02T10:46:26+02:00,VBVMTEAM2-------------GPB-000500--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool B,Preliminary Phase - Pool B,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---ITA02,Ranghieri/Carambula,Team,ITA,Italy,0,POINTS,L,,1
4103,2024-08-02T10:46:26+02:00,VBVMTEAM2-------------GPB-000500--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool B,Preliminary Phase - Pool B,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---CHI01,M.Grimalt/E.Grimalt,Team,CHI,Chile,2,POINTS,W,,2
6281,2024-08-02T11:40:22+02:00,VBVMTEAM2-------------GPE-000500--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool E,Preliminary Phase - Pool E,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---AUT01,Horl/Horst,Team,AUT,Austria,0,POINTS,L,,1
6282,2024-08-02T11:40:22+02:00,VBVMTEAM2-------------GPE-000500--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool E,Preliminary Phase - Pool E,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---CAN01,Schachter/Dearing,Team,CAN,Canada,2,POINTS,W,,2
3580,2024-08-02T15:44:31+02:00,VBVMTEAM2-------------GPF-000500--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool F,Preliminary Phase - Pool F,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---ESP01,Herrera/Gavira,Team,ESP,Spain,2,POINTS,W,,1
3581,2024-08-02T15:44:31+02:00,VBVMTEAM2-------------GPF-000500--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool F,Preliminary Phase - Pool F,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---USA02,Evans/Budinger,Team,USA,United States,0,POINTS,L,,2
12980,2024-08-02T16:47:58+02:00,VBVMTEAM2-------------GPF-000600--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool F,Preliminary Phase - Pool F,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---FRA01,Krou/Gauthier-Rat,Team,FRA,France,0,POINTS,L,,1
12981,2024-08-02T16:47:58+02:00,VBVMTEAM2-------------GPF-000600--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool F,Preliminary Phase - Pool F,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---NED01,Boermans/de Groot,Team,NED,Netherlands,2,POINTS,W,,2
13259,2024-08-02T20:43:20+02:00,VBVMTEAM2-------------GPB-000600--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool B,Preliminary Phase - Pool B,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---NOR01,Mol/Sorum,Team,NOR,Norway,2,POINTS,W,,1
13260,2024-08-02T20:43:20+02:00,VBVMTEAM2-------------GPB-000600--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool B,Preliminary Phase - Pool B,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---NED02,van de Velde/Immers,Team,NED,Netherlands,0,POINTS,L,,2
10501,2024-08-02T21:45:18+02:00,VBVMTEAM2-------------GPE-000600--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool E,Preliminary Phase - Pool E,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---CZE01,Perusic/Schweiner,Team,CZE,Czechia,0,POINTS,L,,1
10502,2024-08-02T21:45:18+02:00,VBVMTEAM2-------------GPE-000600--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool E,Preliminary Phase - Pool E,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---BRA02,Evandro/Arthur,Team,BRA,Brazil,2,POINTS,W,,2
8663,2024-08-03T09:46:50+02:00,VBVMTEAM2-------------GPC-000500--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool C,Preliminary Phase - Pool C,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---GER01,Ehlers/Wickler,Team,GER,Germany,2,POINTS,W,,1
8664,2024-08-03T09:46:50+02:00,VBVMTEAM2-------------GPC-000500--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool C,Preliminary Phase - Pool C,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---POL01,Bryl/Losiak,Team,POL,Poland,0,POINTS,L,,2
908,2024-08-03T10:46:56+02:00,VBVMTEAM2-------------GPC-000600--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool C,Preliminary Phase - Pool C,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---AUS01,Hodges/Schubert,Team,AUS,Australia,2,POINTS,W,,1
909,2024-08-03T10:46:56+02:00,VBVMTEAM2-------------GPC-000600--,VBVMTEAM2,Men,Men's Preliminary Phase - Pool C,Preliminary Phase - Pool C,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---FRA02,Bassereau/Lyneel,Team,FRA,France,0,POINTS,L,,2
7356,2024-08-03T18:11:27+02:00,VBVMTEAM2-------------LL--000200--,VBVMTEAM2,Men,Men's lucky loser round,Lucky loser round,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---CAN01,Schachter/Dearing,Team,CAN,Canada,0,IRM_POINTS,L,INJ,1
7357,2024-08-03T18:11:27+02:00,VBVMTEAM2-------------LL--000200--,VBVMTEAM2,Men,Men's lucky loser round,Lucky loser round,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---CHI01,M.Grimalt/E.Grimalt,Team,CHI,Chile,2,POINTS,W,,2
2714,2024-08-03T23:46:43+02:00,VBVMTEAM2-------------LL--000100--,VBVMTEAM2,Men,Men's lucky loser round,Lucky loser round,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---AUS01,Hodges/Schubert,Team,AUS,Australia,0,POINTS,L,,1
2715,2024-08-03T23:46:43+02:00,VBVMTEAM2-------------LL--000100--,VBVMTEAM2,Men,Men's lucky loser round,Lucky loser round,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---USA02,Evans/Budinger,Team,USA,United States,2,POINTS,W,,2
5881,2024-08-04T10:50:17+02:00,VBVMTEAM2-------------8FNL000500--,VBVMTEAM2,Men,Men's Round of 16,Round of 16,FINISHED,M,Beach Volleyball,VBV,Eiffel Tower Stadium,VBVMTEAM2---GER01,Ehlers/Wickler,Team,GER,Germany,2,POINTS,W,,1
