,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,start_order
3377,2024-07-30T18:30:45+02:00,BK3WTEAM3-------------GPA-000200--,BK3WTEAM3,Women,Women's Pool Round,Pool Round,FINISHED,W,3x3 Basketball,BK3,La Concorde 1,BK3WTEAM3---CAN01,Canada,Team,CAN,Canada,22,POINTS,W,2
3366,2024-07-30T21:29:08+02:00,BK3WTEAM3-------------GPA-000300--,BK3WTEAM3,Women,Women's Pool Round,Pool Round,FINISHED,W,3x3 Basketball,BK3,La Concorde 1,BK3WTEAM3---ESP01,Spain,Team,ESP,Spain,18,POINTS,W,1
3367,2024-07-30T21:29:08+02:00,BK3WTEAM3-------------GPA-000300--,BK3WTEAM3,Women,Women's Pool Round,Pool Round,FINISHED,W,3x3 Basketball,BK3,La Concorde 1,BK3WTEAM3---AZE01,Azerbaijan,Team,AZE,Azerbaijan,16,POINTS,L,2
1759,2024-07-31T17:51:41+02:00,BK3WTEAM3-------------GPA-000500--,BK3WTEAM3,Women,Women's Pool Round,Pool Round,FINISHED,W,3x3 Basketball,BK3,La Concorde 1,BK3WTEAM3---GER01,Germany,Team,GER,Germany,19,POINTS,L,1
1760,2024-07-31T17:51:41+02:00,BK3WTEAM3-------------GPA-000500--,BK3WTEAM3,Women,Women's Pool Round,Pool Round,FINISHED,W,3x3 Basketball,BK3,La Concorde 1,BK3WTEAM3---AUS01,Australia,Team,AUS,Australia,21,POINTS,W,2
7968,2024-07-31T18:20:24+02:00,BK3WTEAM3-------------GPA-000600--,BK3WTEAM3,Women,Women's Pool Round,Pool Round,FINISHED,W,3x3 Basketball,BK3,La Concorde 1,BK3WTEAM3---CAN01,Canada,Team,CAN,Canada,21,POINTS,W,1
7969,2024-07-31T18:20:24+02:00,BK3WTEAM3-------------GPA-000600--,BK3WTEAM3,Women,Women's Pool Round,Pool Round,FINISHED,W,3x3 Basketball,BK3,La Concorde 1,BK3WTEAM3---CHN01,People's Republic of China,Team,CHN,China,11,POINTS,L,2
7966,2024-07-31T21:24:56+02:00,BK3WTEAM3-------------GPA-000700--,BK3WTEAM3,Women,Women's Pool Round,Pool Round,FINISHED,W,3x3 Basketball,BK3,La Concorde 1,BK3WTEAM3---FRA01,France,Team,FRA,France,12,POINTS,L,1
7967,2024-07-31T21:24:56+02:00,BK3WTEAM3-------------GPA-000700--,BK3WTEAM3,Women,Women's Pool Round,Pool Round,FINISHED,W,3x3 Basketball,BK3,La Concorde 1,BK3WTEAM3---ESP01,Spain,Team,ESP,Spain,17,POINTS,W,2
4565,2024-07-31T21:56:49+02:00,BK3WTEAM3-------------GPA-000800--,BK3WTEAM3,Women,Women's Pool Round,Pool Round,FINISHED,W,3x3 Basketball,BK3,La Concorde 1,BK3WTEAM3---USA01,United States of America,Team,USA,United States,17,POINTS,L,1
4566,2024-07-31T21:56:49+02:00,BK3WTEAM3-------------GPA-000800--,BK3WTEAM3,Women,Women's Pool Round,Pool Round,FINISHED,W,3x3 Basketball,BK3,La Concorde 1,BK3WTEAM3---AZE01,Azerbaijan,Team,AZE,Azerbaijan,20,POINTS,W,2
4561,2024-08-01T09:19:00+02:00,BK3WTEAM3-------------GPA-000900--,BK3WTEAM3,Women,Women's Pool Round,Pool Round,FINISHED,W,3x3 Basketball,BK3,La Concorde 1,BK3WTEAM3---CHN01,People's Republic of China,Team,CHN,China,15,POINTS,L,1
4562,2024-08-01T09:19:00+02:00,BK3WTEAM3-------------GPA-000900--,BK3WTEAM3,Women,Women's Pool Round,Pool Round,FINISHED,W,3x3 Basketball,BK3,La Concorde 1,BK3WTEAM3---AUS01,Australia,Team,AUS,Australia,21,POINTS,W,2
9666,2024-08-01T09:50:52+02:00,BK3WTEAM3-------------GPA-001000--,BK3WTEAM3,Women,Women's Pool Round,Pool Round,FINISHED,W,3x3 Basketball,BK3,La Concorde 1,BK3WTEAM3---GER01,Germany,Team,GER,Germany,19,POINTS,W,1
9667,2024-08-01T09:50:52+02:00,BK3WTEAM3-------------GPA-001000--,BK3WTEAM3,Women,Women's Pool Round,Pool Round,FINISHED,W,3x3 Basketball,BK3,La Concorde 1,BK3WTEAM3---CAN01,Canada,Team,CAN,Canada,15,POINTS,L,2
9675,2024-08-01T12:55:46+02:00,BK3WTEAM3-------------GPA-001100--,BK3WTEAM3,Women,Women's Pool Round,Pool Round,FINISHED,W,3x3 Basketball,BK3,La Concorde 1,BK3WTEAM3---AZE01,Azerbaijan,Team,AZE,Azerbaijan,10,POINTS,L,1
9676,2024-08-01T12:55:46+02:00,BK3WTEAM3-------------GPA-001100--,BK3WTEAM3,Women,Women's Pool Round,Pool Round,FINISHED,W,3x3 Basketball,BK3,La Concorde 1,BK3WTEAM3---FRA01,France,Team,FRA,France,15,POINTS,W,2
220,2024-08-01T13:23:39+02:00,BK3WTEAM3-------------GPA-001200--,BK3WTEAM3,Women,Women's Pool Round,Pool Round,FINISHED,W,3x3 Basketball,BK3,La Concorde 1,BK3WTEAM3---USA01,United States of America,Team,USA,United States,15,POINTS,L,1
221,2024-08-01T13:23:39+02:00,BK3WTEAM3-------------GPA-001200--,BK3WTEAM3,Women,Women's Pool Round,Pool Round,FINISHED,W,3x3 Basketball,BK3,La Concorde 1,BK3WTEAM3---AUS01,Australia,Team,AUS,Australia,17,POINTS,W,2
202,2024-08-01T18:22:21+02:00,BK3WTEAM3-------------GPA-001300--,BK3WTEAM3,Women,Women's Pool Round,Pool Round,FINISHED,W,3x3 Basketball,BK3,La Concorde 1,BK3WTEAM3---CHN01,People's Republic of China,Team,CHN,China,14,POINTS,W,1
203,2024-08-01T18:22:21+02:00,BK3WTEAM3-------------GPA-001300--,BK3WTEAM3,Women,Women's Pool Round,Pool Round,FINISHED,W,3x3 Basketball,BK3,La Concorde 1,BK3WTEAM3---ESP01,Spain,Team,ESP,Spain,11,POINTS,L,2
5605,2024-08-01T18:55:37+02:00,BK3WTEAM3-------------GPA-001400--,BK3WTEAM3,Women,Women's Pool Round,Pool Round,FINISHED,W,3x3 Basketball,BK3,La Concorde 1,BK3WTEAM3---GER01,Germany,Team,GER,Germany,12,POINTS,W,1
5606,2024-08-01T18:55:37+02:00,BK3WTEAM3-------------GPA-001400--,BK3WTEAM3,Women,Women's Pool Round,Pool Round,FINISHED,W,3x3 Basketball,BK3,La Concorde 1,BK3WTEAM3---AZE01,Azerbaijan,Team,AZE,Azerbaijan,8,POINTS,L,2
11384,2024-08-01T22:26:00+02:00,BK3WTEAM3-------------GPA-001600--,BK3WTEAM3,Women,Women's Pool Round,Pool Round,FINISHED,W,3x3 Basketball,BK3,La Concorde 1,BK3WTEAM3---CAN01,Canada,Team,CAN,Canada,13,POINTS,W,1
11385,2024-08-01T22:26:00+02:00,BK3WTEAM3-------------GPA-001600--,BK3WTEAM3,Women,Women's Pool Round,Pool Round,FINISHED,W,3x3 Basketball,BK3,La Concorde 1,BK3WTEAM3---FRA01,France,Team,FRA,France,9,POINTS,L,2
5613,2024-08-02T02:03:46+02:00,BK3WTEAM3-------------GPA-001500--,BK3WTEAM3,Women,Women's Pool Round,Pool Round,FINISHED,W,3x3 Basketball,BK3,La Concorde 1,BK3WTEAM3---ESP01,Spain,Team,ESP,Spain,11,POINTS,L,1
5614,2024-08-02T02:03:46+02:00,BK3WTEAM3-------------GPA-001500--,BK3WTEAM3,Women,Women's Pool Round,Pool Round,FINISHED,W,3x3 Basketball,BK3,La Concorde 1,BK3WTEAM3---USA01,United States of America,Team,USA,United States,17,POINTS,W,2
11382,2024-08-02T09:19:42+02:00,BK3WTEAM3-------------GPA-001700--,BK3WTEAM3,Women,Women's Pool Round,Pool Round,FINISHED,W,3x3 Basketball,BK3,La Concorde 1,BK3WTEAM3---CHN01,People's Republic of China,Team,CHN,China,15,POINTS,L,1
11383,2024-08-02T09:19:42+02:00,BK3WTEAM3-------------GPA-001700--,BK3WTEAM3,Women,Women's Pool Round,Pool Round,FINISHED,W,3x3 Basketball,BK3,La Concorde 1,BK3WTEAM3---GER01,Germany,Team,GER,Germany,18,POINTS,W,2
912,2024-08-02T09:48:53+02:00,BK3WTEAM3-------------GPA-001800--,BK3WTEAM3,Women,Women's Pool Round,Pool Round,FINISHED,W,3x3 Basketball,BK3,La Concorde 1,BK3WTEAM3---AUS01,Australia,Team,AUS,Australia,21,POINTS,W,1
913,2024-08-02T09:48:53+02:00,BK3WTEAM3-------------GPA-001800--,BK3WTEAM3,Women,Women's Pool Round,Pool Round,FINISHED,W,3x3 Basketball,BK3,La Concorde 1,BK3WTEAM3---AZE01,Azerbaijan,Team,AZE,Azerbaijan,12,POINTS,L,2
904,2024-08-02T12:51:00+02:00,BK3WTEAM3-------------GPA-001900--,BK3WTEAM3,Women,Women's Pool Round,Pool Round,FINISHED,W,3x3 Basketball,BK3,La Concorde 1,BK3WTEAM3---AUS01,Australia,Team,AUS,Australia,17,POINTS,L,1
905,2024-08-02T12:51:00+02:00,BK3WTEAM3-------------GPA-001900--,BK3WTEAM3,Women,Women's Pool Round,Pool Round,FINISHED,W,3x3 Basketball,BK3,La Concorde 1,BK3WTEAM3---ESP01,Spain,Team,ESP,Spain,21,POINTS,W,2
6403,2024-08-02T13:24:25+02:00,BK3WTEAM3-------------GPA-002000--,BK3WTEAM3,Women,Women's Pool Round,Pool Round,FINISHED,W,3x3 Basketball,BK3,La Concorde 1,BK3WTEAM3---USA01,United States of America,Team,USA,United States,14,POINTS,W,1
