,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT
11199,2024-07-29T23:01:35+02:00,TTEMSINGLES-----------R32-000500--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1879345,GROTH Jonathan,Person,DEN,Denmark,1,POINTS,L
5488,2024-07-30T10:56:57+02:00,TTEMSINGLES-----------R32-000600--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1980867,KOZUL Deni,Person,SLO,Slovenia,2,POINTS,L
5489,2024-07-30T10:56:57+02:00,TTEMSINGLES-----------R32-000600--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1931109,TOGAMI Shunsuke,Person,JPN,Japan,4,POINTS,W
3546,2024-07-30T10:57:08+02:00,TTEMSINGLES-----------R32-001000--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1958386,ISHIY Vitor,Person,BRA,Brazil,1,POINTS,L
3547,2024-07-30T10:57:08+02:00,TTEMSINGLES-----------R32-001000--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1542541,OVTCHAROV Dimitrij,Person,GER,Germany,4,POINTS,W
12840,2024-07-30T11:50:15+02:00,TTEMSINGLES-----------R32-001200--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1565009,GACINA Andrej,Person,CRO,Croatia,0,POINTS,L
12841,2024-07-30T11:50:15+02:00,TTEMSINGLES-----------R32-001200--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1800795,LIN Yun-Ju,Person,TPE,Chinese Taipei,4,POINTS,W
8892,2024-07-30T12:01:53+02:00,TTEMSINGLES-----------R32-000800--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1563520,ROBLES Alvaro,Person,ESP,Spain,2,POINTS,L
8893,2024-07-30T12:01:53+02:00,TTEMSINGLES-----------R32-000800--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1958377,CALDERANO Hugo,Person,BRA,Brazil,4,POINTS,W
3521,2024-07-31T10:47:43+02:00,TTEMSINGLES-----------R32-001100--,TTEMSINGLES,Men's Singles,Men's Singles Round of 32,Round of 32,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1980863,JORGIC Darko,Person,SLO,Slovenia,4,POINTS,W
